title,description,created on,duration,engagement,fixed job amount (USD),hourly budget,client location,is Payment verified,total spent (USD),total reviews,feedback,experience level,proposal tier,is enterprise,connect price,job url
"Sound designer needed to recreate a few sounds using a prophet rev2
synthesizer

","I have a couple sounds that I want recreated using a dave smith prophet rev2
synthesizer. these specific sounds are a bass sound, a pluck, a pad/synth
lead. I want these specifically created using a prophet rev2, and the
deliverables will be these presets, or a soundbank, either way I want to be
able to import these into my rev2 that I own. this job's perfect for someone
with a prophet who is looking to make a little cash and add some good reviews
to their portfolio. if you have a dsi prophet rev2, and are interested, please
message me and I can share the sounds with you.

",2023-04-18T03:43:26+00:00,Less than 1 month,,               50.00,,United States,Yes,"            4,210.26",32,"5.00 Stars, based on 32 feedbacks",Entry level,Less than 5,False,6,[jobLink](https://www.upwork.com/jobs/~01c21d87b9d27a9056)
"Sound engineer for public programme arts event

","We are looking for a sound engineer in London with experience in working with
digital mixers - particularly the Midas M32 Live. For an event requiring set
up with x3 dynamic mics and 1x roaming mic. Using RCF speakers. For the
following event at Camden Art Centre on Thursday 4th of May 2023:
https://camdenartcentre.org/whats-on/public-knowledge-lost-in-music With
availability from 3/4pm -10pm Looking forward to hearing from you!

",2023-05-02T18:50:57+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$25.00-$40.00,United Kingdom,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~012abce0ee1fb46a59)
"Music editing

","Hey i know what i am singing i need someone to add auto tune and add sound and
beats even i have the background music just add beats as its my first song

",2023-04-25T22:56:30+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,Canada,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~01c20e47ef88e051a6)
"Sound designer for animated content (content for kids)

","Searching for a sound designer that can design, mix, and master background
music, sfx, and foley for content for kids between the ages of 2 to 7. I'm
specifically looking for a sound designer that can enhance the comedic feel of
the stories and keep kids engaged through sound design. The first batch of
footage is around 12-15 minutes long. This is for a proof of concept project
with a low budget but with the potential to quickly increase as more content
is produced continuously.

",2023-04-03T20:08:43+00:00,Less than 1 month,,              100.00,,United States,Yes,"            4,173.90",9,"5.00 Stars, based on 9 feedbacks",Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~014b1a7129d71359f2)
"Arabic Music arrangement

","توزيع موسيقي محترف بافكار جديده اغنيه كل شهر يرجى ارسال عينات من عمل سابق خبرة
في المكس والماسترنغ

",2023-03-26T01:54:02+00:00,3 to 6 months,,              200.00,,United Arab Emirates,Yes,"            3,720.40",41,"4.98 Stars, based on 41 feedbacks",Expert,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~016cba87dfc2f30aaf)
"Background sound r

","Video editing is the manipulation and arrangement of video shots. Video
editing is used to structure and present all video information, including
films and television shows, video advertisements and video essays

",2023-04-25T03:22:33+00:00,More than 6 months,30+ hrs/week,                0.00,$40.00-$90.00,Pakistan,No,                0.00,0,No feedback yet,Expert,Less than 5,False,8,[jobLink](https://www.upwork.com/jobs/~0193bf88b6cfdd6476)
"Music instrument

","Hello Do you make customer presets packs for serum? I'm looking for a sound
designer to design 80 presets for melodic house like Ben bohmner, marsh, lane
8, jordin post, etc using xfer serum The 80 presets will come with a 4 bar
loop midi demo for every preset, so 80 midis the midis need to be done like i
would be played for melodic house. important mention.... all presets must be
original, exclusive and royalty free for commercial use

",2023-04-14T22:27:34+00:00,Less than 1 month,,               15.00,,United Kingdom,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~012da86e707ccfb67b)
"ASMR Sound Recording

","We are looking for people who are very interested in ASMR and are excited
about the future of it. Ideally, you already have recored professional ASMR
sound effects and have the equipment and knowledge to record mostly any ASMR
sound. If you have a lot of passion and knowledge about ASMR but you just need
the gear this is okay as well. We will provide examples and a wide list of
requirements. We are looking to partner with a wide range of talented
professionals who are interested in ASMR. Please start your proposal with
""ASMR Recording Pro"" to verify you read our entire project description.

",2023-04-24T04:27:43+00:00,More than 6 months,30+ hrs/week,                0.00,$5.00-$20.00,United States,Yes,"            8,836.97",56,"4.97 Stars, based on 56 feedbacks",Expert,5 to 10,False,8,[jobLink](https://www.upwork.com/jobs/~010486fa528bc0ab8d)
"Arabic Music arrangement

","توزيع موسيقي محترف بافكار جديده اغنيه كل شهر يرجى ارسال عينات من عمل سابق خبرة
في المكس والماسترنغ

",2023-03-06T08:55:22+00:00,3 to 6 months,,              300.00,,United Arab Emirates,Yes,"            3,720.40",41,"4.98 Stars, based on 41 feedbacks",Expert,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~01264f968a84aa34a1)
"Sound engineering on a one minute video.

","We are looking for a skilled sound engineer to work on a one-minute video
project. The ideal candidate should have experience in audio editing and video
editing. The project duration will be less than one month. The primary
responsibility of the successful candidate will be to ensure that the sound
quality of the video is top-notch. This will involve cleaning up any
background noise, enhancing the dialogue, and ensuring that the music and
sound effects are balanced. Additionally, the candidate will be required to
work closely with the video editor to ensure that the sound and video elements
are synchronized perfectly. To apply for this position, please submit a
proposal detailing your experience in sound engineering and how you can help
us with this project. Please include links to past completed projects that
showcase your sound engineering skills. We look forward to hearing from you.
Note: Some of the content in this job post may have been auto-generated using
advanced AI.

",2023-05-06T18:03:25+00:00,Less than 1 month,,                5.00,,Nigeria,Yes,                0.00,0,No feedback yet,Entry level,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~01c7122c2670f85b8a)
